Feature,Cluster_A,Cluster_B,N_A,N_B,Median_A,Median_B,U_Statistic,Raw_P_Value,Rank_Biserial,Abs_Rank_Biserial,Holm_Adjusted_P,Significant_Holm
TenureDays,0,1,635,390,386.0,405.5,114701.5,0.047411095131012625,-0.07368059761760548,0.07368059761760548,0.3318776659170884,False
TenureDays,0,2,635,1162,386.0,322.0,401765.5,0.0017942950090364845,0.08898721997099757,0.08898721997099757,0.01614865508132836,True
TenureDays,0,3,635,30,386.0,384.5,9548.0,0.9825419155662597,0.002414698162729767,0.002414698162729767,1.0,False
TenureDays,0,4,635,20,386.0,526.0,5160.5,0.15358231796485516,-0.18732283464566934,0.18732283464566934,0.921493907789131,False
TenureDays,1,2,390,1162,405.5,322.0,266374.0,2.0487538822941077e-07,0.17557703340835862,0.17557703340835862,2.0487538822941076e-06,True
TenureDays,1,3,390,30,405.5,384.5,6337.5,0.4471755380051671,0.08333333333333326,0.08333333333333326,1.0,False
TenureDays,1,4,390,20,405.5,526.0,3433.0,0.36675769176705086,-0.11974358974358978,0.11974358974358978,1.0,False
TenureDays,2,3,1162,30,322.0,384.5,15828.5,0.3897878881944308,-0.09188181296615028,0.09188181296615028,1.0,False
TenureDays,2,4,1162,20,322.0,526.0,8445.0,0.03596852812187752,-0.2732358003442341,0.2732358003442341,0.2877482249750202,False
TenureDays,3,4,30,20,384.5,526.0,242.0,0.25477250460697987,-0.19333333333333336,0.19333333333333336,1.0,False
TotalSpend,0,1,635,390,1234.0,734.0,195176.5,3.1618625911284677e-54,0.5762285483545326,0.5762285483545326,2.529490072902774e-53,True
TotalSpend,0,2,635,1162,1234.0,74.0,729910.0,2.715063809278285e-258,0.9784243836990256,0.9784243836990256,2.715063809278285e-257,True
TotalSpend,0,3,635,30,1234.0,1375.0,8459.0,0.30008998107686646,-0.11191601049868771,0.11191601049868771,0.30008998107686646,False
TotalSpend,0,4,635,20,1234.0,95.5,11589.0,3.2361764910688946e-10,0.8250393700787402,0.8250393700787402,1.941705894641337e-09,True
TotalSpend,1,2,390,1162,734.0,74.0,435660.5,4.2193781172469476e-164,0.9226819365373582,0.9226819365373582,3.7974403055222527e-163,True
TotalSpend,1,3,390,30,734.0,1375.0,2650.0,5.916774108399067e-07,-0.5470085470085471,0.5470085470085471,2.9583870541995336e-06,True
TotalSpend,1,4,390,20,734.0,95.5,5985.0,5.5072198775036345e-05,0.5346153846153847,0.5346153846153847,0.00016521659632510904,True
TotalSpend,2,3,1162,30,74.0,1375.0,1891.0,7.007354257046747e-17,-0.891508892713712,0.891508892713712,4.905147979932722e-16,True
TotalSpend,2,4,1162,20,74.0,95.5,9059.0,0.0907092924716627,-0.22039586919104992,0.22039586919104992,0.1814185849433254,False
TotalSpend,3,4,30,20,1375.0,95.5,529.0,6.024787167621196e-06,0.7633333333333334,0.7633333333333334,2.4099148670484785e-05,True
TotalPurchases,0,1,635,390,19.0,17.0,153118.0,1.7600207533629617e-10,0.23656773672521703,0.23656773672521703,1.2320145273540733e-09,True
TotalPurchases,0,2,635,1162,19.0,6.0,719180.5,2.2122425837847298e-244,0.9493420250179572,0.9493420250179572,2.2122425837847297e-243,True
TotalPurchases,0,3,635,30,19.0,18.5,10408.5,0.3893919950874951,0.09275590551181101,0.09275590551181101,0.502505462322798,False
TotalPurchases,0,4,635,20,19.0,7.0,10082.0,7.183161310815435e-06,0.5877165354330709,0.5877165354330709,4.309896786489261e-05,True
TotalPurchases,1,2,390,1162,17.0,6.0,435329.0,1.0657154026488066e-164,0.9212189417008694,0.9212189417008694,9.59143862383926e-164,True
TotalPurchases,1,3,390,30,17.0,18.5,5116.5,0.251252731161399,-0.12538461538461543,0.12538461538461543,0.502505462322798,False
TotalPurchases,1,4,390,20,17.0,7.0,5845.5,0.0001613074220872893,0.49884615384615394,0.49884615384615394,0.0008065371104364464,True
TotalPurchases,2,3,1162,30,6.0,18.5,2740.0,1.893284685400237e-15,-0.8427997705106138,0.8427997705106138,1.5146277483201897e-14,True
TotalPurchases,2,4,1162,20,6.0,7.0,8838.0,0.06406909908818217,-0.23941480206540444,0.23941480206540444,0.19220729726454652,False
TotalPurchases,3,4,30,20,18.5,7.0,449.5,0.0031219419191736175,0.4983333333333333,0.4983333333333333,0.01248776767669447,True
MntWines,0,1,635,390,516.0,489.5,130650.5,0.13801962262333728,0.05512214819301442,0.05512214819301442,0.13801962262333728,False
MntWines,0,2,635,1162,516.0,27.0,706931.0,9.873288520172862e-227,0.9161396994050441,0.9161396994050441,9.873288520172862e-226,True
MntWines,0,3,635,30,516.0,1044.5,5262.5,3.398596520999298e-05,-0.44750656167978997,0.44750656167978997,0.00010195789562997894,True
